"a"   8.167   1 
"b"   1.492   2 
"c"   2.782   3 
"d"   4.253   4 
"e"   12.702  5 
"f"   2.228   6 
"g"   2.015   7 
"h"   6.094   8 
"i"   6.966   9 
"j"   0.153   10
"k"   0.772   11
"l"   4.025   12
"m"   2.406   13
"n"   6.749   14
"o"   7.507   15
"p"   1.929   16
"q"   0.095   17
"r"   5.987   18
"s"   6.327   19
"t"   9.056   20
"u"   2.758   21
"v"   0.978   22
"w"   2.360   23
"x"   0.150   24
"y"   1.974   25
"z"   0.074   26
